None,mdate,open_d,high_d,low_d,close_d,volume
217,2020-11-24,499.5,500.0,491.5,492.0,38630.079
218,2020-11-25,495.0,495.5,487.0,487.0,47179.64
219,2020-11-26,489.0,493.5,488.0,489.0,31844.322
220,2020-11-27,487.5,492.0,486.5,489.0,35196.829
221,2020-11-30,493.0,493.5,480.5,480.5,149311.778
222,2020-12-01,489.5,490.0,483.5,490.0,38341.265
223,2020-12-02,499.5,500.0,493.5,499.0,60208.035
224,2020-12-03,499.5,499.5,495.0,497.0,36919.644
225,2020-12-04,498.5,505.0,497.5,503.0,54471.042
226,2020-12-07,512.0,515.0,506.0,514.0,45493.551
227,2020-12-08,514.0,525.0,509.0,524.0,41830.257
228,2020-12-09,521.0,524.0,520.0,520.0,46831.705
229,2020-12-10,511.0,515.0,510.0,512.0,43991.133
230,2020-12-11,517.0,517.0,505.0,516.0,51296.611
231,2020-12-14,512.0,513.0,508.0,508.0,30809.747
232,2020-12-15,507.0,510.0,504.0,504.0,43059.899
233,2020-12-16,509.0,515.0,507.0,512.0,53661.282
234,2020-12-17,515.0,515.0,508.0,508.0,39285.785
235,2020-12-18,508.0,512.0,507.0,510.0,40625.502
236,2020-12-21,512.0,517.0,508.0,516.0,35153.138
237,2020-12-22,512.0,516.0,509.0,509.0,25632.245
238,2020-12-23,508.0,511.0,506.0,509.0,18320.849
239,2020-12-24,511.0,512.0,508.0,510.0,15218.008
240,2020-12-25,514.0,515.0,510.0,511.0,12581.145
241,2020-12-28,512.0,515.0,509.0,515.0,19520.886
242,2020-12-29,515.0,517.0,513.0,515.0,20226.736
243,2020-12-30,516.0,525.0,514.0,525.0,46705.107
244,2020-12-31,526.0,530.0,524.0,530.0,31173.332
245,2021-01-04,530.0,540.0,528.0,536.0,39489.959
246,2021-01-05,536.0,542.0,535.0,542.0,34839.391
247,2021-01-06,555.0,555.0,541.0,549.0,55614.434
248,2021-01-07,554.0,570.0,553.0,565.0,53392.763
249,2021-01-08,580.0,580.0,571.0,580.0,62957.148
250,2021-01-11,577.0,584.0,574.0,584.0,52771.778
251,2021-01-12,583.0,597.0,582.0,591.0,52605.212
252,2021-01-13,595.0,605.0,593.0,605.0,75707.681
253,2021-01-14,587.0,597.0,587.0,592.0,90309.708
254,2021-01-15,621.0,625.0,601.0,601.0,100998.199
255,2021-01-18,608.0,608.0,594.0,607.0,50388.664
256,2021-01-19,618.0,632.0,613.0,627.0,52947.466
257,2021-01-20,633.0,650.0,631.0,647.0,95484.47
258,2021-01-21,640.0,679.0,640.0,673.0,97590.371
259,2021-01-22,649.0,665.0,649.0,649.0,134238.314
260,2021-01-25,642.0,646.0,626.0,633.0,98608.285
261,2021-01-26,632.0,640.0,610.0,617.0,114797.609
262,2021-01-27,618.0,625.0,611.0,615.0,72823.691
263,2021-01-28,600.0,608.0,598.0,601.0,104181.514
264,2021-01-29,619.0,619.0,591.0,591.0,96875.889
265,2021-02-01,595.0,612.0,587.0,611.0,70161.939
266,2021-02-02,629.0,638.0,622.0,632.0,80724.207
267,2021-02-03,638.0,642.0,630.0,630.0,59763.227
268,2021-02-04,626.0,632.0,620.0,627.0,47547.873
269,2021-02-05,638.0,641.0,631.0,632.0,57350.831
270,2021-02-17,663.0,668.0,660.0,663.0,115578.402
271,2021-02-18,664.0,665.0,656.0,660.0,54520.341
272,2021-02-19,656.0,657.0,647.0,652.0,51651.844
273,2021-02-22,660.0,662.0,650.0,650.0,39512.078
274,2021-02-23,641.0,643.0,633.0,641.0,52868.029
275,2021-02-24,627.0,636.0,625.0,625.0,80010.637
276,2021-02-25,636.0,636.0,628.0,635.0,45279.276
277,2021-02-26,611.0,618.0,606.0,606.0,137933.162
278,2021-03-02,621.0,622.0,609.0,609.0,57792.973
279,2021-03-03,609.0,622.0,601.0,622.0,61171.387
280,2021-03-04,609.0,611.0,601.0,601.0,75508.388
281,2021-03-05,588.0,605.0,584.0,601.0,85579.527
282,2021-03-08,608.0,610.0,598.0,598.0,47676.63
283,2021-03-09,585.0,595.0,585.0,595.0,74471.341
284,2021-03-10,601.0,601.0,593.0,597.0,41735.443
285,2021-03-11,596.0,612.0,595.0,609.0,55462.783
